id,lat,long,name,freq
239,40.691965660000001,-73.981301799999997,Willoughby St & Fleet St,400
241,40.689810350000002,-73.974931209999994,DeKalb Ave & S Portland Ave,269
242,40.697883490000002,-73.973503320000006,Flushing Ave & Carlton Ave,179
2003,40.734160590000002,-73.98024289,1 Ave & E 18 St,1246
244,40.691960350000002,-73.965368510000005,Willoughby Ave & Hall St,296
245,40.693270179999999,-73.977038739999998,Myrtle Ave & St Edwards St,144
247,40.735353979999999,-74.004830909999995,Perry St & Bleecker St,765
248,40.721853789999997,-74.007717790000001,Laight St & Hudson St,231
249,40.718709869999998,-74.009000900000004,Harrison St & Hudson St,514
250,40.724560889999999,-73.995652930000006,Lafayette St & Jersey St,550
251,40.72317958,-73.994800119999994,Mott St & Prince St,1110
252,40.732263979999999,-73.998522050000005,MacDougal St & Washington Sq,837
