,id,lat,long,name,freq
76,285,40.734545670000003,-73.990741420000006,Broadway & E 14 St,7398
77,289,40.684568299999995,-73.958810810000003,Monroe St & Classon Ave,270
78,290,40.760202579999998,-73.964784730000005,2 Ave & E 58 St,2817
79,291,40.713126000000003,-73.984843999999995,Madison St & Montgomery St,1453
80,293,40.730286659999997,-73.9907647,Lafayette St & E 8 St,10196
81,294,40.730493930000002,-73.995721400000008,Washington Square E,4155
82,295,40.714066670000001,-73.992939109999995,Pike St & E Broadway,2244
83,296,40.71413089,-73.997046799999993,Division St & Bowery,2256
84,297,40.734231999999999,-73.986923000000004,E 15 St & 3 Ave,3823
85,298,40.686832080000002,-73.979677199999998,3 Ave & Schermerhorn St,424
86,300,40.728144999999998,-73.990213999999995,Shevchenko Pl & E 7 St,3466
